AEROLINEA_COMPLETA,ORIGEN_COMPLETO,DESTINO_COMPLETO
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,CHS - Charleston International Airport/Charleston AFB
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,CLE - Cleveland Hopkins International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,DCA - Ronald Reagan Washington National Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,DEN - Denver International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,DTW - Detroit Metropolitan Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,EWR - Newark Liberty International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,FLL - Fort Lauderdale-Hollywood International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,GSO - Piedmont Triad International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,IAD - Washington Dulles International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,IAH - George Bush Intercontinental Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,ILM - Wilmington International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,IND - Indianapolis International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,JAX - Jacksonville International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,JFK - John F. Kennedy International Airport (New York International Airport)
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,LAS - McCarran International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,LAX - Los Angeles International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,LGA - LaGuardia Airport (Marine Air Terminal)
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,MCI - Kansas City International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,MCO - Orlando International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,MDT - Harrisburg International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,MEM - Memphis International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,MIA - Miami International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,MSP - Minneapolis-Saint Paul International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,MSY - Louis Armstrong New Orleans International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,ORD - Chicago O'Hare International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,ORF - Norfolk International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,PBI - Palm Beach International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,PDX - Portland International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,PHL - Philadelphia International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,PIT - Pittsburgh International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,PVD - Theodore Francis Green State Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,PWM - Portland International Jetport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,RDU - Raleigh-Durham International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,RIC - Richmond International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,ROC - Greater Rochester International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,RSW - Southwest Florida International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,SAN - San Diego International Airport (Lindbergh Field)
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,SAT - San Antonio International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,SEA - Seattle-Tacoma International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,SFO - San Francisco International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,SJU - Luis Muñoz Marín International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,SLC - Salt Lake City International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,SMF - Sacramento International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,STL - St. Louis International Airport at Lambert Field
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,STT - Cyril E. King Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,STX - Henry E. Rohlsen Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,SYR - Syracuse Hancock International Airport
AA - American Airlines Inc.,CLT - Charlotte Douglas International Airport,TPA - Tampa International Airport
AA - American Airlines Inc.,CMH - Port Columbus International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,CMH - Port Columbus International Airport,LAX - Los Angeles International Airport
AA - American Airlines Inc.,CMH - Port Columbus International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,COS - City of Colorado Springs Municipal Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,DAY - James M. Cox Dayton International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,BDL - Bradley International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,BOS - Gen. Edward Lawrence Logan International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,DTW - Detroit Metropolitan Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,FLL - Fort Lauderdale-Hollywood International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,IND - Indianapolis International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,JAX - Jacksonville International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,JFK - John F. Kennedy International Airport (New York International Airport)
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,LAS - McCarran International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,LAX - Los Angeles International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,LGA - LaGuardia Airport (Marine Air Terminal)
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,MCI - Kansas City International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,MCO - Orlando International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,MIA - Miami International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,MSY - Louis Armstrong New Orleans International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,ORD - Chicago O'Hare International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,PBI - Palm Beach International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,PHL - Philadelphia International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,PIT - Pittsburgh International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,PVD - Theodore Francis Green State Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,PWM - Portland International Jetport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,RSW - Southwest Florida International Airport
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,STL - St. Louis International Airport at Lambert Field
AA - American Airlines Inc.,DCA - Ronald Reagan Washington National Airport,TPA - Tampa International Airport
AA - American Airlines Inc.,DEN - Denver International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,DEN - Denver International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,DEN - Denver International Airport,MIA - Miami International Airport
AA - American Airlines Inc.,DEN - Denver International Airport,ORD - Chicago O'Hare International Airport
AA - American Airlines Inc.,DEN - Denver International Airport,PHL - Philadelphia International Airport
AA - American Airlines Inc.,DEN - Denver International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,ABQ - Albuquerque International Sunport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,ANC - Ted Stevens Anchorage International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,ATL - Hartsfield-Jackson Atlanta International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,AUS - Austin-Bergstrom International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,BDL - Bradley International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,BHM - Birmingham-Shuttlesworth International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,BNA - Nashville International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,BOS - Gen. Edward Lawrence Logan International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,BWI - Baltimore-Washington International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,CLE - Cleveland Hopkins International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,CMH - Port Columbus International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,COS - City of Colorado Springs Municipal Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,DAY - James M. Cox Dayton International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,DCA - Ronald Reagan Washington National Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,DEN - Denver International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,DSM - Des Moines International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,DTW - Detroit Metropolitan Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,EGE - Eagle County Regional Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,ELP - El Paso International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,EWR - Newark Liberty International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,FAT - Fresno Yosemite International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,FLL - Fort Lauderdale-Hollywood International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,GUC - Gunnison-Crested Butte Regional Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,HDN - Yampa Valley Airport (Yampa Valley Regional)
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,HNL - Honolulu International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,HOU - William P. Hobby Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,IAD - Washington Dulles International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,IAH - George Bush Intercontinental Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,ICT - Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport)
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,IND - Indianapolis International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,JAC - Jackson Hole Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,JAX - Jacksonville International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,JFK - John F. Kennedy International Airport (New York International Airport)
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,LAS - McCarran International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,LAX - Los Angeles International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,LBB - Lubbock Preston Smith International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,LGA - LaGuardia Airport (Marine Air Terminal)
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,LIT - Bill and Hillary Clinton National Airport (Adams Field)
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,MCI - Kansas City International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,MCO - Orlando International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,MEM - Memphis International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,MFE - McAllen-Miller International Airport (McAllen Miller International)
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,MIA - Miami International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,MKE - General Mitchell International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,MSP - Minneapolis-Saint Paul International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,MSY - Louis Armstrong New Orleans International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,MTJ - Montrose Regional Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,OGG - Kahului Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,OKC - Will Rogers World Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,OMA - Eppley Airfield
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,ONT - Ontario International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,ORD - Chicago O'Hare International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,ORF - Norfolk International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,PBI - Palm Beach International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,PDX - Portland International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,PHL - Philadelphia International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,PIT - Pittsburgh International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,PNS - Pensacola International Airport (Pensacola Gulf Coast Regional Airport)
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,PSP - Palm Springs International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,RDU - Raleigh-Durham International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,RIC - Richmond International Airport
AA - American Airlines Inc.,DFW - Dallas/Fort Worth International Airport,RNO - Reno/Tahoe International Airport
